City,DateTime,Temperature,Precipitation,Surface_Runoff
Thimphu,01-01-2000 00:00,16.23620357,19.0192147,36.86770315
Thimphu,01-01-2000 03:00,22.95975453,3.204770945,8.643731496
Thimphu,01-01-2000 06:00,6.742508365,17.3369053,30.45463558
Thimphu,01-01-2000 09:00,26.24217733,0.509631436,48.52558276
Thimphu,01-01-2000 12:00,29.97327922,4.325548302,9.909423393
Thimphu,01-01-2000 15:00,10.5021353,6.154420635,26.71306515
Thimphu,01-01-2000 18:00,17.95835056,5.89545989,30.98079184
Thimphu,01-01-2000 21:00,9.18481582,5.913678506,18.95173032
Thimphu,02-01-2000 00:00,18.68209953,15.72500163,10.78401533
Thimphu,02-01-2000 03:00,20.42703315,11.88904992,3.276070223
Thimphu,02-01-2000 06:00,23.22634556,3.493430061,4.187528056
Thimphu,02-01-2000 09:00,33.46656612,19.31607746,40.61147006
Thimphu,02-01-2000 12:00,14.13841308,2.043675069,34.5274183
Thimphu,02-01-2000 15:00,18.20457481,2.528560873,25.2636686
Thimphu,02-01-2000 18:00,6.031655633,18.195476,13.6802191
Thimphu,02-01-2000 21:00,24.87566853,6.303050414,26.48333304
Thimphu,03-01-2000 00:00,21.40130838,3.778603665,48.50964676
Thimphu,03-01-2000 03:00,28.2539847,18.79602894,44.84654017
Thimphu,03-01-2000 06:00,22.93699936,18.44529728,5.336132601
Thimphu,03-01-2000 09:00,10.87948587,1.000023049,16.94118621
Thimphu,03-01-2000 12:00,16.66031869,5.499845732,41.60813795
Thimphu,03-01-2000 15:00,15.7025998,5.690596743,27.59210807
Thimphu,03-01-2000 18:00,9.227726749,16.06371992,4.65298154
Thimphu,03-01-2000 21:00,34.6066081,15.46767091,10.7370684
Thimphu,04-01-2000 00:00,5.165663514,16.32768243,35.63600985
Thimphu,04-01-2000 03:00,26.87021504,15.4482799,4.628187935
Thimphu,04-01-2000 06:00,15.75397186,2.405794285,43.29206787
Thimphu,04-01-2000 09:00,23.6989438,6.684870695,4.114359164
Thimphu,04-01-2000 12:00,14.32946965,6.571148108,36.75070274
Thimphu,04-01-2000 15:00,24.12672414,17.75553358,24.13853133
Thimphu,04-01-2000 18:00,8.587827378,14.29357127,38.27846738
Thimphu,04-01-2000 21:00,21.83831593,15.44224688,25.19598422
Thimphu,05-01-2000 00:00,20.68198488,8.608066265,2.24553721
Thimphu,05-01-2000 03:00,8.23674281,0.725440795,32.18411015
Thimphu,05-01-2000 06:00,14.43067943,10.22055675,45.47075722
Thimphu,05-01-2000 09:00,12.47876687,8.266620168,38.02200579
Thimphu,05-01-2000 12:00,11.86394496,1.631900206,15.19782119
Thimphu,05-01-2000 15:00,9.836638618,18.60098328,40.5978986
Thimphu,05-01-2000 18:00,24.0021127,17.44206574,40.37993177
Thimphu,05-01-2000 21:00,10.59710177,17.86192407,27.42776985
Thimphu,06-01-2000 00:00,29.22320465,17.93221687,16.58217027
Thimphu,06-01-2000 03:00,8.301557736,4.635909735,21.92828164
Thimphu,06-01-2000 06:00,29.54044298,17.22853861,1.340654396
Thimphu,06-01-2000 09:00,20.32241908,8.406478963,11.88328271
Thimphu,06-01-2000 12:00,8.59596102,6.818541911,47.20257549
Thimphu,06-01-2000 15:00,14.69608796,10.42393337,35.44792899
Thimphu,06-01-2000 18:00,15.90888807,19.43846345,48.15991745
Thimphu,06-01-2000 21:00,12.55346887,9.995245267,15.74303718
Thimphu,07-01-2000 00:00,13.54521483,0.834050252,30.86865237
Thimphu,07-01-2000 03:00,20.0803707,1.12442715,14.65367675
Thimphu,07-01-2000 06:00,32.24797658,4.867281624,8.099848732
Thimphu,07-01-2000 09:00,19.68358281,19.71444404,12.8607083
Thimphu,07-01-2000 12:00,25.16406642,15.25623035,12.64423966
Thimphu,07-01-2000 15:00,26.84649046,7.418884341,31.9829857
Thimphu,07-01-2000 18:00,24.00589132,10.76191621,5.424198733
Thimphu,07-01-2000 21:00,30.05907487,6.483523293,10.13940701
Thimphu,08-01-2000 00:00,6.223254247,11.85876957,34.20065373
Thimphu,08-01-2000 03:00,5.497634868,10.29065186,12.09829298
Thimphu,08-01-2000 06:00,24.35518371,3.569891937,34.85594917
Thimphu,08-01-2000 09:00,16.60206039,18.74092678,7.738526263
Thimphu,08-01-2000 12:00,15.23199053,2.358123073,46.3099873
Thimphu,08-01-2000 15:00,31.3201806,5.233038392,33.33921826
Thimphu,08-01-2000 18:00,29.51666601,11.14849615,26.95287834
Thimphu,08-01-2000 21:00,12.25556873,1.952745079,44.96357214
Thimphu,09-01-2000 00:00,32.01254171,12.698719,17.61245976
Thimphu,09-01-2000 03:00,15.47628724,14.54651801,44.95840274
Thimphu,09-01-2000 06:00,31.61259273,15.61952336,32.45955066
Thimphu,09-01-2000 09:00,7.52419895,3.31641141,45.02915524
Thimphu,09-01-2000 12:00,23.19287179,0.283021327,5.9721056
Thimphu,09-01-2000 15:00,24.90505307,0.200725519,8.879594519
Thimphu,09-01-2000 18:00,21.46201368,13.86871443,32.94610172
Thimphu,09-01-2000 21:00,11.72807928,14.2723665,12.62520529
Thimphu,10-01-2000 00:00,14.76199094,14.95517896,32.83201205
Thimphu,10-01-2000 03:00,30.47670231,13.18649656,28.84712156
Thimphu,10-01-2000 06:00,7.810243035,7.417544481,13.99491602
Thimphu,10-01-2000 09:00,12.3196893,19.46291004,20.26178851
Thimphu,10-01-2000 12:00,31.76139666,12.65965866,39.94575387
Thimphu,10-01-2000 15:00,20.07911279,11.5803873,25.133367
Thimphu,10-01-2000 18:00,10.85728963,14.47679709,14.75784576
Thimphu,10-01-2000 21:00,5.729478993,12.94489869,9.678423291
Thimphu,11-01-2000 00:00,33.21375753,19.08317868,45.82835512
Thimphu,11-01-2000 03:00,16.10476101,0.407586669,46.48760957
Thimphu,11-01-2000 06:00,17.84552445,19.3364309,48.21737888
Thimphu,11-01-2000 09:00,30.59028366,5.959532952,19.8697887
Thimphu,11-01-2000 12:00,30.53410015,6.406747903,9.305144588
Thimphu,11-01-2000 15:00,21.70403787,18.72948001,35.10546004
Thimphu,11-01-2000 18:00,22.1018351,2.033812226,31.13535411
Thimphu,11-01-2000 21:00,34.7016155,2.887671903,26.39815297
Thimphu,12-01-2000 00:00,31.32119216,14.84129549,35.15377131
Thimphu,12-01-2000 03:00,26.07452252,7.253873909,15.38600037
Thimphu,12-01-2000 06:00,29.28083466,16.22125655,43.48654361
Thimphu,12-01-2000 09:00,32.39721658,10.27571374,25.57429844
Thimphu,12-01-2000 12:00,28.94885537,13.03428222,35.39637699
Thimphu,12-01-2000 15:00,28.87378008,17.8111063,17.56176269
Thimphu,12-01-2000 18:00,16.26748858,1.970240603,29.33572691
Thimphu,12-01-2000 21:00,6.078268214,9.365400561,27.5895871
Thimphu,13-01-2000 00:00,13.59623756,11.85758189,2.494512247
Thimphu,13-01-2000 03:00,6.120445662,16.46975116,18.64934143
Thimphu,13-01-2000 06:00,8.81181538,10.49264088,38.7296841
Thimphu,13-01-2000 09:00,11.47463082,12.49552047,5.182025785
Thimphu,13-01-2000 12:00,6.550451635,10.67395717,27.49112096
Thimphu,13-01-2000 15:00,24.12289704,14.54921754,48.81675189
Thimphu,13-01-2000 18:00,20.48901045,6.526833812,39.96412354
Thimphu,13-01-2000 21:00,13.12496754,8.835531272,4.844362686
Thimphu,14-01-2000 00:00,5.760522302,19.25670345,41.96302591
Thimphu,14-01-2000 03:00,25.87922618,8.238163594,9.491421683
Thimphu,14-01-2000 06:00,9.69311128,5.079833673,27.91210657
Thimphu,14-01-2000 09:00,26.43787768,13.2379278,14.71676095
Thimphu,14-01-2000 12:00,33.64595842,14.78414864,28.16334857
Thimphu,14-01-2000 15:00,23.35162239,8.450041242,13.13881849
Thimphu,14-01-2000 18:00,15.67918036,15.1811376,1.705280943
Thimphu,14-01-2000 21:00,8.482179215,1.015452576,2.995711314
Thimphu,15-01-2000 00:00,30.66381752,14.1027914,24.23451763
Thimphu,15-01-2000 03:00,7.93502482,9.883155915,24.20011677
Thimphu,15-01-2000 06:00,10.1960561,8.73364782,20.52673199
Thimphu,15-01-2000 09:00,23.47550294,12.73836365,3.219896479
Thimphu,15-01-2000 12:00,16.23837844,12.55461232,25.65367667
Thimphu,15-01-2000 15:00,30.69469524,13.20800327,8.983786927
Thimphu,15-01-2000 18:00,7.117062422,12.88414364,2.299054217
Thimphu,15-01-2000 21:00,22.57326744,18.8105818,29.19823472
Thimphu,16-01-2000 00:00,16.64509779,12.90143555,23.45439163
Thimphu,16-01-2000 03:00,21.36850368,18.83514969,19.91902925
Thimphu,16-01-2000 06:00,33.83571691,18.11647777,10.5937656
Thimphu,16-01-2000 09:00,7.080839026,2.105482227,1.892869457
Thimphu,16-01-2000 12:00,7.833288823,13.69183479,4.488243775
Thimphu,16-01-2000 15:00,14.56926891,16.91301869,2.140324851
Thimphu,16-01-2000 18:00,29.43405448,5.708910018,6.790076553
Thimphu,16-01-2000 21:00,25.90211496,12.61596265,43.99612866
Thimphu,17-01-2000 00:00,27.05213131,16.08927051,14.81969406
Thimphu,17-01-2000 03:00,10.32318631,15.03723356,40.53490222
Thimphu,17-01-2000 06:00,34.71515426,8.311091771,19.2288862
Thimphu,17-01-2000 09:00,28.29238882,6.881990451,46.60710895
Thimphu,17-01-2000 12:00,30.75238256,8.636981145,37.79268232
Thimphu,17-01-2000 15:00,27.63628622,2.15216499,45.22509243
Thimphu,17-01-2000 18:00,20.15757117,16.54650358,16.68243045
Thimphu,17-01-2000 21:00,31.86569685,7.845113407,1.531044923
Thimphu,18-01-2000 00:00,32.16145929,1.916604868,16.64636824
Thimphu,18-01-2000 03:00,33.50185901,19.01708222,29.09845652
Thimphu,18-01-2000 06:00,23.95511637,9.024065887,15.36732781
Thimphu,18-01-2000 09:00,14.85993636,13.48311728,37.86635194
Thimphu,18-01-2000 12:00,28.74737131,15.81340104,5.469099049
Thimphu,18-01-2000 15:00,19.83260914,1.245419324,27.92691523
Thimphu,18-01-2000 18:00,18.24591504,17.76531324,18.19483562
Thimphu,18-01-2000 21:00,8.512010493,2.945534473,38.31402095
Thimphu,19-01-2000 00:00,23.5465419,2.112341255,5.1212335
Thimphu,19-01-2000 03:00,26.02907394,1.547983827,41.27114291
Thimphu,19-01-2000 06:00,26.18726681,1.718840735,5.15704799
Thimphu,19-01-2000 09:00,34.59918736,7.547988836,19.16146521
Thimphu,19-01-2000 12:00,29.38398702,18.95024669,49.31405213
Thimphu,19-01-2000 15:00,27.60134556,7.587565752,5.091535118
Thimphu,19-01-2000 18:00,28.31440748,11.21224457,21.78687845
Thimphu,19-01-2000 21:00,32.19063155,2.312829898,25.13863011
Thimphu,20-01-2000 00:00,5.340609343,9.426346776,3.758860508
Thimphu,20-01-2000 03:00,8.564537488,2.438772311,32.8113048
Thimphu,20-01-2000 06:00,27.38134638,11.70903843,48.14645488
Thimphu,20-01-2000 09:00,16.24611739,5.785670517,43.56135728
Thimphu,20-01-2000 12:00,11.70787516,19.26812853,1.59556926
Thimphu,20-01-2000 15:00,34.0963648,0.958882248,44.66601257
Thimphu,20-01-2000 18:00,20.83103327,19.85999944,4.616031672
Thimphu,20-01-2000 21:00,21.61562853,19.38912046,26.63179436
Thimphu,21-01-2000 00:00,23.88195914,13.94539891,23.27251217
Thimphu,21-01-2000 03:00,23.8267424,11.72785481,45.15674251
Thimphu,21-01-2000 06:00,6.36339141,5.691167473,47.57016272
Thimphu,21-01-2000 09:00,31.70791352,9.16756938,31.38649729
Thimphu,21-01-2000 12:00,13.32143549,3.843611079,23.72122184
Thimphu,21-01-2000 15:00,15.60056684,11.71475663,4.808997211
Thimphu,21-01-2000 18:00,34.23184423,19.72559382,35.20992399
Thimphu,21-01-2000 21:00,21.08289099,6.259599564,40.87595597
Thimphu,22-01-2000 00:00,25.54193518,3.336077093,45.63543204
Thimphu,22-01-2000 03:00,29.67611729,19.00101827,36.56025591
Thimphu,22-01-2000 06:00,23.40245588,8.423036422,46.70369568
Thimphu,22-01-2000 09:00,30.98191669,0.999851535,2.29198175
Thimphu,22-01-2000 12:00,16.29390101,16.23001128,49.37653034
Thimphu,22-01-2000 15:00,9.512506733,11.92320124,19.66365197
Thimphu,22-01-2000 18:00,34.09743193,16.85816657,42.07810653
Thimphu,22-01-2000 21:00,19.06079479,8.354908097,14.39694652
Thimphu,23-01-2000 00:00,6.6912649,17.30797529,40.83214945
Thimphu,23-01-2000 03:00,34.9915302,19.93307306,28.21615357
Thimphu,23-01-2000 06:00,28.06962246,18.90083802,42.63272214
Thimphu,23-01-2000 09:00,12.42044305,9.065828293,7.328811342
Thimphu,23-01-2000 12:00,33.62153082,12.16287523,12.20349747
Thimphu,23-01-2000 15:00,25.15102053,12.40075199,18.54997318
Thimphu,23-01-2000 18:00,8.406727766,13.46430659,26.49507734
Thimphu,23-01-2000 21:00,28.16955175,10.45125367,42.75689352
Thimphu,24-01-2000 00:00,21.55720516,11.26266563,43.95602653
Thimphu,24-01-2000 03:00,17.10448599,2.766903046,2.410351139
