basin,discharge_tag,station name,longitude_left,latitude_left,longitude_right,latitude_right
Aiechhu,0,0,90.46480753012602,26.945873636088635,0.0,0.0
Amochhu,0,0,89.12010992291209,27.350269280209094,0.0,0.0
Drangmechhu,0,0,91.39502903796195,27.84243536003244,0.0,0.0
Jaldhakha,0,0,88.9878498499434,27.061616068472585,0.0,0.0
Jomori,0,0,91.95975766614272,27.12348423000868,0.0,0.0
Mangdechhu,3,PANGBANG ON DANGME CHHU   [ P ] (17120045)Tingtibi on Mangdi Chhu (Down Stream)Kurjey on Chamkher Chhu (15490045),271.9470746903118,82.51844586723301,272.2783333333333,81.43083333333334
Merak_Sakteng,0,0,92.03395801646504,27.329945760114217,0.0,0.0
Nyera_Amari,0,0,91.6528094602422,26.987295331157494,0.0,0.0
Punatsangchhu,1,Wangdi Rapids on Pho+Mo Chhu (13490045),89.93946645681426,27.562874789250102,89.90305555555557,27.4625
Wangchhu,1,Lungtenphug on Thimphu Chhu  (12800045),89.48272340508404,27.35311477165916,89.66111111111111,27.446666666666665
